"Symbol";"Value";"Unit";
"TraceParts.PartStatus";"Published";"";
"Option_n";"Pegs";"";
"Compliance";"Lead free / RoHS";"";
"Size_s";"Micro";"";
"Operating_Temperature";"-40 °C up to +85 °C";"";
"Insulator_Material";"LCP";"";
"Gender";"Receptacle";"";
"Withstanding_Voltage_UL_KVAC_min";"0.1";"";
"TraceParts.PartVersion";"1.1.2";"";
"SUPPLIER";"WÜRTH ELEKTRONIK";"";
"REFERENCE";"629105150521";"";
"TraceParts.PartLanguage";"de";"";
"Contact_Material_2";"Stainless Steel";"";
"TraceParts.PartStatusId";"";"";
"TraceParts.PartTitle";"WÜRTH ELEKTRONIK - ELECTROMECHANICAL COMPONENTS - COM-Communication Connector - USB - USB 2.0 - Type B";"";
"DESIGN";"ConUSB2 Micro USB Horizontal SMT 5 Kontakte Typ B mit Positionierzapfen";"";
"UL";"E323964";"";
"Contact_Type";"Stamped";"";
"Contact_Plating_2";"Nickel";"";
"Contact_Material";"Copper Alloy";"";
"TraceParts.PartNumber";"10-05032015-067305";"";
"Rated_Current_UL_A";"3";"";
"Type";"Horizontal";"";
"Solder_Profile";"JEDEC lead free reflow soldering process";"";
"Packaging";"Tape and Reel";"";
"Insulation_Resistance";">1000 (MΩ)";"";
"Contact_Resistance_UL_mOHM";"30";"";
"Insulator_Flammability_Rating";"UL94-V0";"";
"TRACEPARTS";"TRACEPARTS";"";
"Working_Voltage_UL_VAC";"30";"";
"Insulator_Colour";"Black";"";
"Contact_Plating";"Gold";"";
"TraceParts.ClassPath";"WURTH_ELEKTRONIK:10-05032015-067305";"";
"Number_of_Ports";"1";"";
"Protocol";"USB 2.0";"";
"TraceParts.InstanceId";"10-05032015-067305AFECTN8EBZ99LF66LOLTOWGCB";"";
"Quality_Class";"10 000 Mating cycles";"";
